ClassName,Change Variable Type in,Change Variable Type out,Inline Variable in,Inline Variable out,Rename Method in,Rename Method out,Rename Class in,Rename Class out,Extract Method in,Extract Method out,Extract Variable in,Extract Variable out,Move And Rename Class in,Move And Rename Class out,Change Attribute Type in,Change Attribute Type out,Change Parameter Type in,Change Parameter Type out,Change Return Type in,Change Return Type out,Rename Variable in,Rename Variable out,Rename Attribute in,Rename Attribute out,Move Class in,Move Class out,Extract Superclass in,Extract Superclass out,Extract Class in,Extract Class out,Move Attribute in,Move Attribute out,Replace Variable With Attribute in,Replace Variable With Attribute out,Rename Parameter in,Rename Parameter out,Extract Interface in,Extract Interface out,Pull Up Method in,Pull Up Method out,Pull Up Attribute in,Pull Up Attribute out,Move Method in,Move Method out,Move And Rename Method in,Move And Rename Method out,Inline Method in,Inline Method out,Move And Inline Method in,Move And Inline Method out,Parameterize Variable in,Parameterize Variable out,Merge Variable in,Merge Variable out,Extract Attribute in,Extract Attribute out,Extract And Move Method in,Extract And Move Method out,Merge Parameter in,Merge Parameter out,Replace Attribute in,Replace Attribute out,Push Down Method in,Push Down Method out,Merge Attribute in,Merge Attribute out,Extract Subclass in,Extract Subclass out,Push Down Attribute in,Push Down Attribute out,Split Variable in,Split Variable out,Split Attribute in,Split Attribute out,Move And Rename Attribute in,Move And Rename Attribute out,Split Parameter in,Split Parameter out
org.eclipse.paho.client.mqttv3.internal.CommsSender,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.CommsTokenStore,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.FileLock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.wire.MqttConnect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.MqttDeliveryToken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.MqttToken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.wire.MqttPublish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.wire.MqttWireMessage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.traceformat.TracePointExtractor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.internal.logBuilder.LogMessageExtractor,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.client.mqttv3.MqttAsyncClient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.paho.sample.utility.MQTTFrame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
